Feature,Coefficient,Odds_Ratio
Spacer_Cluster_421,-2.8983687030406298,0.055113052519770854
Spacer_Cluster_333,2.5355414891600927,12.623264358549134
Spacer_Cluster_67,-2.502052173524856,0.08191671869180374
Cas_II-D,2.4385731448285743,11.456682048797973
Spacer_Cluster_257,-2.180145144742182,0.11302512444729436
Spacer_Cluster_213,2.132694756545042,8.43757340949204
Spacer_Cluster_220,2.132683330476967,8.437477001754656
Spacer_Cluster_245,2.07732612057171,7.983094518545494
Spacer_Cluster_1,1.999563059915816,7.385828229380895
Spacer_Cluster_314,-1.974743101630978,0.1387969643770453
Spacer_Cluster_267,1.9667602284912282,7.147482726492504
Spacer_Cluster_422,1.8912844217392326,6.6278762045314625
Spacer_Cluster_29,1.8411364452536219,6.303697999602538
Spacer_Cluster_7,1.8288566473155958,6.2267632005678255
Spacer_Cluster_0,1.8144257262492607,6.13755053103493
Spacer_Cluster_249,1.8083659547284232,6.100470837820095
Spacer_Cluster_148,1.7971591794470583,6.032485889576779
Spacer_Cluster_293,1.728315727896555,5.631161508541311
Spacer_Cluster_310,1.7276773020515395,5.62756757684831
Spacer_Cluster_703,1.6807532107923706,5.369598888179735
Spacer_Cluster_270,1.6328338831486011,5.118359016805062
Spacer_Cluster_281,1.5078026385508707,4.516794851003525
Spacer_Cluster_248,1.5040367855155519,4.499817253037567
Spacer_Cluster_311,1.4579834270735945,4.2972849962910225
Spacer_Cluster_298,1.4025626917051228,4.0656055215819515
