Feature,Mean_Abs_SHAP
Cas_I-E,0.106611766
Cas_IV-A3,0.06752977
Spacer_Cluster_314,0.03993145
Cas_II-D,0.02547993
Spacer_Cluster_336,0.02206583
Spacer_Cluster_213,0.014996476
Spacer_Cluster_29,0.0037885353
Spacer_Cluster_265,0.0023107452
Spacer_Cluster_257,0.00226978
Spacer_Cluster_148,0.0
Spacer_Cluster_14,0.0
Spacer_Cluster_220,0.0
Spacer_Cluster_221,0.0
Spacer_Cluster_245,0.0
Spacer_Cluster_234,0.0
Spacer_Cluster_110,0.0
Spacer_Cluster_2,0.0
Spacer_Cluster_229,0.0
Spacer_Cluster_230,0.0
Spacer_Cluster_1,0.0
Spacer_Cluster_0,0.0
Spacer_Cluster_268,0.0
Spacer_Cluster_267,0.0
Spacer_Cluster_266,0.0
Spacer_Cluster_254,0.0
