==> Iniciando minería de 7970 genomas con 8 hilos...
Progreso: [100/7970] (1.3%) | Errores: 0
Progreso: [200/7970] (2.5%) | Errores: 0
Progreso: [300/7970] (3.8%) | Errores: 0
Progreso: [400/7970] (5.0%) | Errores: 0
Progreso: [500/7970] (6.3%) | Errores: 0
Progreso: [600/7970] (7.5%) | Errores: 0
Progreso: [700/7970] (8.8%) | Errores: 0
Progreso: [800/7970] (10.0%) | Errores: 0
Progreso: [900/7970] (11.3%) | Errores: 0
Progreso: [1000/7970] (12.5%) | Errores: 0
Progreso: [1100/7970] (13.8%) | Errores: 0
Progreso: [1200/7970] (15.1%) | Errores: 0
Progreso: [1300/7970] (16.3%) | Errores: 0
Progreso: [1400/7970] (17.6%) | Errores: 0
Progreso: [1500/7970] (18.8%) | Errores: 0
Progreso: [1600/7970] (20.1%) | Errores: 0
Progreso: [1700/7970] (21.3%) | Errores: 0
Progreso: [1800/7970] (22.6%) | Errores: 0
Progreso: [1900/7970] (23.8%) | Errores: 0
Progreso: [2000/7970] (25.1%) | Errores: 0
Progreso: [2100/7970] (26.3%) | Errores: 0
Progreso: [2200/7970] (27.6%) | Errores: 0
Progreso: [2300/7970] (28.9%) | Errores: 0
Progreso: [2400/7970] (30.1%) | Errores: 0
Progreso: [2500/7970] (31.4%) | Errores: 0
Progreso: [2600/7970] (32.6%) | Errores: 0
Progreso: [2700/7970] (33.9%) | Errores: 0
Progreso: [2800/7970] (35.1%) | Errores: 0
Progreso: [2900/7970] (36.4%) | Errores: 0
Progreso: [3000/7970] (37.6%) | Errores: 0
Progreso: [3100/7970] (38.9%) | Errores: 0
Progreso: [3200/7970] (40.2%) | Errores: 0
Progreso: [3300/7970] (41.4%) | Errores: 0
Progreso: [3400/7970] (42.7%) | Errores: 0
Progreso: [3500/7970] (43.9%) | Errores: 0
Progreso: [3600/7970] (45.2%) | Errores: 0
Progreso: [3700/7970] (46.4%) | Errores: 0
Progreso: [3800/7970] (47.7%) | Errores: 0
Progreso: [3900/7970] (48.9%) | Errores: 0
Progreso: [4000/7970] (50.2%) | Errores: 0
Progreso: [4100/7970] (51.4%) | Errores: 0
Progreso: [4200/7970] (52.7%) | Errores: 0
Progreso: [4300/7970] (54.0%) | Errores: 0
Progreso: [4400/7970] (55.2%) | Errores: 0
Progreso: [4500/7970] (56.5%) | Errores: 0
Progreso: [4600/7970] (57.7%) | Errores: 0
Progreso: [4700/7970] (59.0%) | Errores: 0
Progreso: [4800/7970] (60.2%) | Errores: 0
Progreso: [4900/7970] (61.5%) | Errores: 0
Progreso: [5000/7970] (62.7%) | Errores: 0
Progreso: [5100/7970] (64.0%) | Errores: 0
Progreso: [5200/7970] (65.2%) | Errores: 0
Progreso: [5300/7970] (66.5%) | Errores: 0
Progreso: [5400/7970] (67.8%) | Errores: 0
Progreso: [5500/7970] (69.0%) | Errores: 0
Progreso: [5600/7970] (70.3%) | Errores: 0
Progreso: [5700/7970] (71.5%) | Errores: 0
Progreso: [5800/7970] (72.8%) | Errores: 0
Progreso: [5900/7970] (74.0%) | Errores: 0
Progreso: [6000/7970] (75.3%) | Errores: 0
Progreso: [6100/7970] (76.5%) | Errores: 0
Progreso: [6200/7970] (77.8%) | Errores: 0
Progreso: [6300/7970] (79.0%) | Errores: 0
Progreso: [6400/7970] (80.3%) | Errores: 0
Progreso: [6500/7970] (81.6%) | Errores: 0
Progreso: [6600/7970] (82.8%) | Errores: 0
Progreso: [6700/7970] (84.1%) | Errores: 0
Progreso: [6800/7970] (85.3%) | Errores: 0
Progreso: [6900/7970] (86.6%) | Errores: 0
Progreso: [7000/7970] (87.8%) | Errores: 0
Progreso: [7100/7970] (89.1%) | Errores: 0
Progreso: [7200/7970] (90.3%) | Errores: 0
Progreso: [7300/7970] (91.6%) | Errores: 0
Progreso: [7400/7970] (92.8%) | Errores: 0
Progreso: [7500/7970] (94.1%) | Errores: 0
Progreso: [7600/7970] (95.4%) | Errores: 0
Progreso: [7700/7970] (96.6%) | Errores: 0
Progreso: [7800/7970] (97.9%) | Errores: 0
Progreso: [7900/7970] (99.1%) | Errores: 0
Progreso: [7970/7970] (100.0%) | Errores: 0

==> Proceso finalizado. Total procesados: 7970 | Total errores: 0
