Antibiotic,Feature,Clinical_Effect,Odds_Ratio,SHAP_Value,pident,length,evalue,bitscore,stitle
Ceftazidime,Spacer_Cluster_421,Protector (Sensibilidad),0.0551130525197708,,100.0,36.0,4.44e-12,71.9,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_67,Protector (Sensibilidad),0.0819167186918037,,89.535,86.0,8.16e-20,99.6,"NZ_JARYIA010000006.1 Staphylococcus aureus strain GE-MSSA34 plasmid unnamed2, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_257,Protector (Sensibilidad),0.1130251244472943,0.0,,,,,
Ceftazidime,Spacer_Cluster_314,Protector (Sensibilidad),0.1387969643770453,,,,,,
Ceftazidime,Spacer_Cluster_298,Riesgo (Resistencia),4.065605521581952,,100.0,33.0,3.03e-10,65.9,"NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_311,Riesgo (Resistencia),4.297284996291023,,100.0,38.0,3.14e-13,75.8,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_248,Riesgo (Resistencia),4.499817253037567,0.0,100.0,40.0,2.2e-14,79.8,"NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_281,Riesgo (Resistencia),4.516794851003525,,97.368,38.0,7.66e-11,67.9,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_270,Riesgo (Resistencia),5.118359016805062,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Ceftazidime,Spacer_Cluster_703,Riesgo (Resistencia),5.369598888179735,,,,,,
