genome_origin	qseqid	pident	length	evalue	bitscore	sseqid	stitle
573.10012	573.10012|accn|FWMR01000058_2|accn|FWMR01000058_2:8;size=1	100.0	42	1.47e-15	83.8	NZ_NBOK01000075.1	NZ_NBOK01000075.1 Klebsiella pneumoniae strain ARPG-340 map unlocalized plasmid unnamed29 contig75, whole genome shotgun sequence
573.10023	573.10023|accn|FWMZ01000003_1|accn|FWMZ01000003_1:44;size=1	100.0	32	8.54e-10	63.9	NZ_JABXPR010000005.1	NZ_JABXPR010000005.1 Citrobacter sp. RHBSTW-00671 plasmid pRHBSTW-00671_5, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:10;size=6	100.0	39	8.33e-14	77.8	NZ_JBRTYH010000002.1	NZ_JBRTYH010000002.1 Klebsiella pneumoniae strain KP6 plasmid pKP6-pls1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:11;size=8	100.0	40	2.2e-14	79.8	NZ_NTGK01000110.1	NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:13;size=8	100.0	38	3.14e-13	75.8	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:14;size=10	100.0	37	1.18e-12	73.8	NZ_NTGK01000110.1	NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:16;size=8	100.0	38	3.14e-13	75.8	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:1;size=1	100.0	38	3.14e-13	75.8	NZ_JBLERO010000002.1	NZ_JBLERO010000002.1 Klebsiella pneumoniae strain A27857 plasmid p1_A27857, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:2;size=2	100.0	38	3.14e-13	75.8	NZ_JBLERO010000002.1	NZ_JBLERO010000002.1 Klebsiella pneumoniae strain A27857 plasmid p1_A27857, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:3;size=8	100.0	38	3.14e-13	75.8	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:4;size=7	100.0	38	3.14e-13	75.8	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:5;size=5	100.0	38	3.14e-13	75.8	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:6;size=1	100.0	38	3.14e-13	75.8	NZ_JBLERO010000002.1	NZ_JBLERO010000002.1 Klebsiella pneumoniae strain A27857 plasmid p1_A27857, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:7;size=6	100.0	38	3.14e-13	75.8	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:8;size=1	100.0	33	2.31e-10	65.9	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000024_2|accn|FWPB01000024_2:9;size=8	100.0	38	3.14e-13	75.8	NZ_JBRTYH010000002.1	NZ_JBRTYH010000002.1 Klebsiella pneumoniae strain KP6 plasmid pKP6-pls1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:12;size=8	100.0	43	3.88e-16	85.7	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:14;size=3	100.0	43	3.88e-16	85.7	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:15;size=4	100.0	44	1.02e-16	87.7	NZ_NBOM01000052.1	NZ_NBOM01000052.1 Klebsiella pneumoniae strain ARPG-379 map unlocalized plasmid unnamed4 contig52, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:17;size=19	100.0	43	3.88e-16	85.7	NZ_JBRTYI010000002.1	NZ_JBRTYI010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1-rmpA2, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:18;size=4	100.0	43	3.88e-16	85.7	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:1;size=1	100.0	44	1.02e-16	87.7	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:2;size=2	100.0	43	3.88e-16	85.7	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
